SCHED_Type,thread_id, Start_time, End_time,st_sec, Real_time, User_time, System_time, Elapsed_time,Latency,Turnaround Time,Throughput,CPU Usage,Fairness
FIFO,0,1718655521,1718655797,0,2.76,2.74,0.01,,0,2.76,,5.150777299,
FIFO,1,1718655797,1718656817,2.76,10.2,10.17,0,,2.76,10.2,,19.04851096,
FIFO,2,1718656817,1718658736,12.96,19.19,19.1,0,,12.96,19.19,,35.7744896,
FIFO,3,1718658736,1718659268,32.15,5.32,5.29,0,,32.15,5.32,,9.908222514,
FIFO,4,1718659268,1718659534,37.47,2.66,2.64,0,,37.47,2.66,,4.944746207,
FIFO,5,1718659534,1718659802,40.13,2.68,2.67,0,,40.13,2.68,,5.000936505,
FIFO,6,1718659802,1718660060,42.81,2.58,2.58,0,,42.81,2.58,,4.832365612,
FIFO,7,1718660060,1718660327,45.39,2.67,2.65,0,,45.39,2.67,,4.963476306,
FIFO,8,1718660327,1718660595,48.06,2.68,2.66,0.01,,48.06,2.68,,5.000936505,
FIFO,9,1718660595,1718660860,50.74,2.65,2.64,0,,50.74,2.65,,4.944746207,
FIFO_T,,1718655521,1718660860,,,,,53.39,31.247,5.339,1.873009927,9.956920772,5.151845203
RR,10,1718660860,1718663492,53.39,26.32,26.18,0,,53.39,26.32,,98.79245283,
RR,11,1718660870,1718663495,53.49,26.25,26.11,0,,53.49,26.25,,98.52830189,
RR,12,1718660880,1718663497,53.59,26.17,26.03,0,,53.59,26.17,,98.22641509,
RR,13,1718660895,1718663500,53.74,26.05,25.92,0,,53.74,26.05,,97.81132075,
RR,14,1718660905,1718663504,53.84,25.99,25.85,0,,53.84,25.99,,97.54716981,
RR,15,1718660915,1718663506,53.94,25.91,25.78,0,,53.94,25.91,,97.28301887,
RR,16,1718660925,1718663455,54.04,25.3,25.17,0,,54.04,25.3,,94.98113208,
RR,17,1718660935,1718663509,54.14,25.74,25.61,0,,54.14,25.74,,96.64150943,
RR,18,1718660945,1718663474,54.24,25.29,25.15,0,,54.24,25.29,,94.90566038,
RR,19,1718660955,1718663510,54.34,25.55,25.41,0,,54.34,25.55,,95.88679245,
RR_T,,1718660860,1718663510,,,,,26.5,53.875,25.857,3.773584906,97.06037736,0.355557309
OTHER,20,1718656188,1718668737,6.67,125.49,122.95,0.01,,6.67,125.49,,94.09964032,
OTHER,21,1718656187,1718668751,6.66,125.64,123.08,0.01,,6.66,125.64,,94.19912757,
OTHER,22,1718656186,1718668740,6.65,125.54,122.98,0.01,,6.65,125.54,,94.12259891,
OTHER,23,1718656184,1718668746,6.63,125.62,123.06,0.01,,6.63,125.62,,94.18382184,
OTHER,24,1718656066,1718668732,5.45,126.66,124.11,0.01,,5.45,126.66,,94.98737277,
OTHER,25,1718655781,1718668740,2.6,129.59,127.03,0.01,,2.6,129.59,,97.22200964,
OTHER,26,1718655684,1718668743,1.63,130.59,128.02,0.01,,1.63,130.59,,97.97964338,
