thread_id, Start_time, End_time, Real_time, User_time, System_time, Elapsed_time,Latency,Turnaround Time,Throughput,CPU Usage,Fairness
0,1718550887,1718553826,29.39,28.23,0,,1.2,29.39,,95.79233118,
1,1718550885,1718553827,29.42,28.25,0,,1.19,29.42,,95.86019681,
2,1718550885,1718553817,29.32,28.17,0,,1.17,29.32,,95.58873431,
3,1718550884,1718553822,29.38,28.22,0,,1.17,29.38,,95.75839837,
4,1718550884,1718553825,29.41,28.25,0,,1.17,29.41,,95.86019681,
5,1718550884,1718553824,29.4,28.23,0,,1.18,29.4,,95.79233118,
6,1718550883,1718553830,29.47,28.3,0,,1.17,29.47,,96.02986088,
7,1718550883,1718553813,29.3,28.15,0,,1.15,29.3,,95.52086868,
8,1718550884,1718553806,29.22,28.08,0,,1.15,29.22,,95.28333899,
9,1718550884,1718553807,29.23,28.08,0,,1.16,29.23,,95.28333899,
BATCH_T,1718550883,,,,,29.47,1.171,29.354,3.393281303,95.67695962,0.079018985
