thread_id, Start_time, End_time, Real_time, User_time, System_time, Elapsed_time,Latency,Turnaround Time,Throughput,CPU Usage,Fairness
0,1718517118,1718517375,2.57,2.53,0,,0.04,2.57,,9.568835098,
1,1718517375,1718517644,2.69,2.65,0.01,,2.61,2.69,,10.06051437,
2,1718517644,1718517916,2.72,2.71,0,,5.27,2.72,,10.24962179,
3,1718517916,1718518180,2.64,2.64,0,,7.98,2.64,,9.984871407,
4,1718518180,1718518445,2.65,2.64,0,,10.63,2.65,,9.984871407,
5,1718518445,1718518710,2.65,2.64,0,,13.28,2.65,,9.984871407,
6,1718518710,1718518971,2.61,2.61,0,,15.92,2.61,,9.871406959,
7,1718518971,1718519236,2.65,2.64,0,,18.54,2.65,,9.984871407,
8,1718519236,1718519501,2.65,2.65,0.01,,21.18,2.65,,10.06051437,
9,1718519501,1718519762,2.61,2.57,0,,23.87,2.61,,9.720121029,
FIFO_T,1718517118,,,,,26.44,11.932,2.644,3.78214826,9.947049924,0.039799497
