thread_id, Start_time, End_time, Real_time, User_time, System_time, Elapsed_time,Latency,Turnaround Time,Throughput,CPU Usage,Fairness
0,1718526850,1718529484,26.34,25.7,0,,0.64,26.34,,95.64570153,
1,1718526860,1718529492,26.32,25.69,0,,0.73,26.32,,95.6084853,
2,1718526870,1718529500,26.3,25.67,0,,0.83,26.3,,95.53405285,
3,1718526880,1718529503,26.23,25.6,0,,0.93,26.23,,95.27353926,
4,1718526890,1718529508,26.18,25.54,0,,1.04,26.18,,95.05024191,
5,1718526901,1718529512,26.11,25.48,0,,1.14,26.11,,94.82694455,
6,1718526911,1718529520,26.09,25.46,0,,1.24,26.09,,94.7525121,
7,1718526921,1718529526,26.05,25.42,0,,1.34,26.05,,94.60364719,
8,1718526931,1718529533,26.02,25.39,0,,1.44,26.02,,94.49199851,
9,1718526941,1718529537,25.96,25.32,0,,1.55,25.96,,94.23148493,
RR_T,1718526850,,,,,26.87,1.088,26.16,3.721622627,95.00186081,0.127279221
