sched_type,thread_id, Start_time,Start_time_normalized, End_time,End_time_normalized,Duration_normalized,Real_time_enter, Real_time, User_time, System_time,Latency,Turnarount Time,Throughput,CPU Utilization,Fairness
SCHED_FIFO,0,1719277130,801,1719280738,4409,3608,44.09,36.08,35.63,0.01,8.46,44.09,,80.83465638,
SCHED_FIFO,1,1719277128,799,1719280518,4189,3390,41.89,33.9,33.48,0,8.41,41.89,,79.92360945,
SCHED_FIFO,2,1719277128,799,1719280302,3973,3174,39.73,31.74,31.36,0,8.37,39.73,,78.93279638,
SCHED_FIFO,3,1719276725,396,1719280086,3757,3361,37.57,33.61,33.22,0,4.35,37.57,,88.42161299,
SCHED_FIFO,4,1719276433,104,1719279870,3541,3437,35.41,34.37,33.97,0,1.44,35.41,,95.93335216,
SCHED_FIFO,5,1719276430,101,1719279600,3271,3170,32.71,31.7,31.34,0,1.37,32.71,,95.81167839,
SCHED_FIFO,6,1719276329,0,1719276553,224,224,2.24,2.24,2.2,0.01,0.04,2.24,,98.66071429,
SCHED_FIFO,7,1719276430,101,1719276810,481,380,4.81,3.8,3.76,0,1.05,4.81,,78.17047817,
SCHED_FIFO,8,1719276430,101,1719277957,1628,1527,16.28,15.27,15.09,0,1.19,16.28,,92.69041769,
SCHED_FIFO,9,1719276430,101,1719279261,2932,2831,29.32,28.31,27.97,0,1.35,29.32,,95.39563438,
Result_FIFO,,,,1719280738,,,,,,,3.603,28.405,0.2268088,88.47749503,14.48069215
SCHED_RR,10,1719276430,101,1719282750,6421,6320,64.21,63.2,62.48,0.01,1.73,64.21,,97.32128952,
SCHED_RR,11,1719276430,101,1719282758,6429,6328,64.29,63.28,62.56,0.01,1.73,64.29,,97.3246228,
SCHED_RR,12,1719276430,101,1719282766,6437,6336,64.37,63.36,62.65,0.01,1.72,64.37,,97.34348299,
SCHED_RR,13,1719276430,101,1719282774,6445,6344,64.45,63.44,62.72,0.01,1.73,64.45,,97.33126455,
SCHED_RR,14,1719276430,101,1719282781,6452,6351,64.52,63.51,62.79,0.01,1.73,64.52,,97.33415995,
SCHED_RR,15,1719276430,101,1719282789,6460,6359,64.6,63.59,62.87,0.01,1.73,64.6,,97.3374613,
SCHED_RR,16,1719276430,101,1719282796,6467,6366,64.67,63.66,62.94,0.01,1.73,64.67,,97.34034328,
SCHED_RR,17,1719276430,101,1719282802,6473,6372,64.73,63.72,63,0.01,1.73,64.73,,97.34280859,
SCHED_RR,18,1719276430,101,1719282809,6480,6379,64.8,63.79,63.07,0.01,1.73,64.8,,97.34567901,
SCHED_RR,19,1719276430,101,1719282817,6488,6387,64.88,63.87,63.15,0.01,1.73,64.88,,97.34895191,
Result_RR,,,,1719282817,,,,,,,1.729,64.552,0.154130703,97.33700639,0.21146158
SCHED_OTHER,20,1719276430,101,1719286978,10649,10548,106.49,105.48,103.94,0.03,2.55,106.49,,97.63358062,
SCHED_OTHER,21,1719276430,101,1719286968,10639,10538,106.39,105.38,103.82,0.03,2.57,106.39,,97.61255757,
SCHED_OTHER,22,1719276431,102,1719286951,10622,10520,106.22,105.2,103.68,0.03,2.54,106.22,,97.63697985,
SCHED_OTHER,23,1719276431,102,1719286976,10647,10545,106.47,105.45,103.91,0.03,2.56,106.47,,97.62374378,
SCHED_OTHER,24,1719276432,103,1719286979,10650,10547,106.5,105.47,103.92,0.03,2.58,106.5,,97.6056338,
SCHED_OTHER,25,1719276432,103,1719286954,10625,10522,106.25,105.22,103.69,0.03,2.56,106.25,,97.61882353,
SCHED_OTHER,26,1719276432,103,1719286964,10635,10532,106.35,105.32,103.77,0.03,2.58,106.35,,97.6022567,
SCHED_OTHER,27,1719276433,104,1719286954,10625,10521,106.25,105.21,103.68,0.03,2.57,106.25,,97.60941176,
SCHED_OTHER,28,1719276433,104,1719286937,10608,10504,106.08,105.04,103.51,0.03,2.57,106.08,,97.60558069,
SCHED_OTHER,29,1719276434,105,1719286943,10614,10509,106.14,105.09,103.56,0.03,2.58,106.14,,97.59751272,
Result_OTHER,,,,1719286979,,,,,,,2.566,106.314,0.093896714,97.6146081,0.141081537
SCHED_BATCH,30,1719276434,105,1719286989,10660,10555,106.6,105.55,104,0.03,2.6,106.6,,97.5891182,
SCHED_BATCH,31,1719276434,105,1719286992,10663,10558,106.63,105.58,104.03,0.03,2.6,106.63,,97.58979649,
SCHED_BATCH,32,1719276530,201,1719286987,10658,10457,106.58,104.57,103.03,0.03,3.55,106.58,,96.69731657,
SCHED_BATCH,33,1719276531,202,1719286987,10658,10456,106.58,104.56,103.04,0.03,3.54,106.58,,96.70669919,
SCHED_BATCH,34,1719276532,203,1719286993,10664,10461,106.64,104.61,103.08,0.03,3.56,106.64,,96.68979745,
SCHED_BATCH,35,1719276532,203,1719286981,10652,10449,106.52,104.49,102.96,0.03,3.56,106.52,,96.68606834,
SCHED_BATCH,36,1719276532,203,1719286981,10652,10449,106.52,104.49,102.97,0.03,3.55,106.52,,96.69545625,
SCHED_BATCH,37,1719276532,203,1719286994,10665,10462,106.65,104.62,103.09,0.03,3.56,106.65,,96.69010783,
