thread_id, Start_time, End_time,Real_time_enter, Real_time, User_time, System_time, Elapsed_time,Latency,Turnarount Time,Throughput,CPU Utilization,Fairness
0,1719156172,1719158608,25.3,24.36,23.11,0,,2.19,25.3,,91.34387352,
1,1719156162,1719158595,25.17,24.33,23.08,0,,2.09,25.17,,91.69646404,
2,1719156151,1719158585,25.07,24.34,23.09,0,,1.98,25.07,,92.10211408,
3,1719156141,1719158576,24.98,24.35,23.1,0.01,,1.88,24.98,,92.51401121,
4,1719156130,1719158564,24.86,24.34,23.1,0.01,,1.76,24.86,,92.96057924,
5,1719156120,1719158555,24.77,24.35,23.12,0.01,,1.65,24.77,,93.37908761,
6,1719156078,1719158516,24.38,24.38,23.13,0.02,,1.25,24.38,,94.95488105,
7,1719156089,1719158523,24.45,24.34,23.1,0.01,,1.35,24.45,,94.5194274,
8,1719156099,1719158535,24.57,24.36,23.12,0.01,,1.45,24.57,,94.13919414,
9,1719156110,1719158543,24.65,24.33,23.1,0.01,,1.55,24.65,,93.7525355,
Result,1719156078,1719158608,24.82,24.348,23.105,0.008,25.3,1.715,24.82,2.53,93.13621678,0.294448637
