thread_id, Start_time, End_time, Real_time, User_time, System_time, Elapsed_time,Latency,Turnarount Time,Throughput,CPU Utilization,Fairness
0,1718568170,1718570499,23.29,22.36,0.01,,0.93,23.29,,96.04980678,
1,1718568170,1718570497,23.27,22.36,0.01,,0.91,23.27,,96.13235926,
2,1718568169,1718570498,23.29,22.37,0.01,,0.92,23.29,,96.09274367,
3,1718568169,1718570509,23.4,22.46,0.01,,0.94,23.4,,96.02564103,
4,1718568168,1718570511,23.43,22.48,0.01,,0.95,23.43,,95.98804951,
5,1718568168,1718570485,23.17,22.24,0.01,,0.93,23.17,,96.0293483,
6,1718568167,1718570502,23.35,22.42,0.01,,0.93,23.35,,96.05995717,
7,1718568168,1718570495,23.27,22.35,0.01,,0.92,23.27,,96.08938547,
8,1718568168,1718570500,23.32,22.4,0.01,,0.92,23.32,,96.09777015,
9,1718568168,1718570507,23.39,22.45,0.01,,0.94,23.39,,96.02394186,
Result,1718568167,1718570511,23.318,22.389,0.01,23.44,0.929,23.318,2.344,96.05890032,0.073184698
