thread_id, Start_time, End_time,Real_time_enter, Real_time, User_time, System_time, Elapsed_time,Latency,Turnarount Time,Throughput,CPU Utilization,Fairness
0,1718435556,1718436814,12.58,12.58,12.22,0,,0.36,12.58,,97.13831479,
1,1718435651,1718437680,21.24,20.29,19.72,0,,1.52,21.24,,92.84369115,
2,1718435651,1718437741,21.85,20.9,20.33,0,,1.52,21.85,,93.04347826,
3,1718435651,1718437698,21.42,20.47,19.89,0,,1.53,21.42,,92.85714286,
4,1718435651,1718437704,21.48,20.53,19.96,0,,1.52,21.48,,92.92364991,
5,1718435651,1718437711,21.55,20.6,20.03,0,,1.52,21.55,,92.94663573,
6,1718435651,1718437719,21.63,20.68,20.11,0,,1.52,21.63,,92.97272307,
7,1718435651,1718437726,21.7,20.75,20.18,0,,1.52,21.7,,92.99539171,
8,1718435651,1718437733,21.77,20.82,20.25,0,,1.52,21.77,,93.01791456,
9,1718435651,1718437740,21.84,20.89,20.32,0,,1.52,21.84,,93.04029304,
Result,1718435556,1718437741,20.706,19.851,19.301,0,21.85,1.405,20.706,2.185,93.37792351,2.714900366
